Ticker,Setor,SubSetor
A1MD34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
AALR3,Saúde,Análises e Diagnósticos
AAPL34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ABCB4,Financeiro,Intermediários Financeiros
ABEV3,Consumo não Cíclico,Bebidas
ACWI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ADBE34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
AERI3,Bens Industriais,Máquinas e Equipamentos
AESB3,Utilidade Pública,Energia Elétrica
AFLT3,Utilidade Pública,Energia Elétrica
AGRO3,Consumo não Cíclico,Agropecuária
AGXY3,Consumo não Cíclico,Agropecuária
AHEB3,Consumo Cíclico,Viagens e Lazer
AHEB5,Consumo Cíclico,Viagens e Lazer
AHEB6,Consumo Cíclico,Viagens e Lazer
AIRB34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ALLD3,Consumo Cíclico,Comércio
ALPA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
ALPA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
ALPK3,Bens Industriais,Serviços Diversos
ALSO3,Financeiro,Exploração de Imóveis
ALUP11,Utilidade Pública,Energia Elétrica
ALUP3,Utilidade Pública,Energia Elétrica
ALUP4,Utilidade Pública,Energia Elétrica
AMAR3,Consumo Cíclico,Comércio
AMBP3,Bens Industriais,Serviços Diversos
AMER3,Consumo Cíclico,Comércio
AMZO34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ANIM3,Consumo Cíclico,Diversos
APER3,Financeiro,Previdência e Seguros
ARML3,Bens Industriais,Máquinas e Equipamentos
ARZZ3,Consumo Cíclico,Comércio
ASAI3,Consumo não Cíclico,Comércio e Distribuição
ATMP3,Bens Industriais,Serviços Diversos
ATOM3,Outros,Outros
AURA33,Materiais Básicos,Mineração
AVLL3,Consumo Cíclico,Construção Civil
AZEV3,Bens Industriais,Construção e Engenharia
AZEV4,Bens Industriais,Construção e Engenharia
AZUL4,Bens Industriais,Transporte
B1NT34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
B3SA3,Financeiro,Serviços Financeiros Diversos
BABA34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BACW39,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BAHI3,Consumo Cíclico,Diversos
BALM3,Saúde,Equipamentos
BALM4,Saúde,Equipamentos
BARI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BAUH4,Consumo não Cíclico,Alimentos Processados
BAZA3,Financeiro,Intermediários Financeiros
BBAS3,Financeiro,Intermediários Financeiros
BBDC3,Financeiro,Intermediários Financeiros
BBDC4,Financeiro,Intermediários Financeiros
BBOV11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BBPO11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BBRK3,Financeiro,Exploração de Imóveis
BBSE3,Financeiro,Previdência e Seguros
BCFF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BCRI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BDLL3,Bens Industriais,Máquinas e Equipamentos
BDLL4,Bens Industriais,Máquinas e Equipamentos
BEEF3,Consumo não Cíclico,Alimentos Processados
BEES3,Financeiro,Intermediários Financeiros
BEES4,Financeiro,Intermediários Financeiros
BEGU39,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BERK34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BGIP3,Financeiro,Intermediários Financeiros
BGIP4,Financeiro,Intermediários Financeiros
BIDI11,Financeiro,Intermediários Financeiros
BIDI3,Financeiro,Intermediários Financeiros
BIDI4,Financeiro,Intermediários Financeiros
BIEU39,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BIOM3,Saúde,Medicamentos e Outros Produtos
BITH11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BKBR3,Consumo Cíclico,Hoteis e Restaurantes
BKNG34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BLAU3,Saúde,Medicamentos e Outros Produtos
BMEB3,Financeiro,Intermediários Financeiros
BMEB4,Financeiro,Intermediários Financeiros
BMGB4,Financeiro,Intermediários Financeiros
BMIN3,Financeiro,Intermediários Financeiros
BMIN4,Financeiro,Intermediários Financeiros
BMKS3,Consumo Cíclico,Viagens e Lazer
BMOB3,Tecnologia da Informação,Programas e Serviços
BNBR3,Financeiro,Intermediários Financeiros
BOAC34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOAS3,Financeiro,Serviços Financeiros Diversos
BOBR4,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza
BOVA11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOVB11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOVV11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOVX11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BPAC11,Financeiro,Intermediários Financeiros
BPAC3,Financeiro,Intermediários Financeiros
BPAC5,Financeiro,Intermediários Financeiros
BPAN4,Financeiro,Intermediários Financeiros
BRAP3,Materiais Básicos,Mineração
BRAP4,Materiais Básicos,Mineração
BRBI11,Financeiro,Intermediários Financeiros
BRCO11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BRCR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BRDT3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis"
BRFS3,Consumo não Cíclico,Alimentos Processados
BRGE11,Financeiro,Previdência e Seguros
BRGE12,Financeiro,Previdência e Seguros
BRGE3,Financeiro,Previdência e Seguros
BRGE5,Financeiro,Previdência e Seguros
BRGE6,Financeiro,Previdência e Seguros
BRGE8,Financeiro,Previdência e Seguros
BRIT3,Comunicações,Telecomunicações
BRIV3,Financeiro,Intermediários Financeiros
BRIV4,Financeiro,Intermediários Financeiros
BRKM3,Materiais Básicos,Químicos
BRKM5,Materiais Básicos,Químicos
BRKM6,Materiais Básicos,Químicos
BRML3,Financeiro,Exploração de Imóveis
BRPR3,Financeiro,Exploração de Imóveis
BRSR3,Financeiro,Intermediários Financeiros
BRSR5,Financeiro,Intermediários Financeiros
BRSR6,Financeiro,Intermediários Financeiros
BSLI3,Financeiro,Intermediários Financeiros
BSLI4,Financeiro,Intermediários Financeiros
BTLG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CALI4,Consumo Cíclico,Construção Civil
CAMB3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CAML3,Consumo não Cíclico,Alimentos Processados
CARD3,Bens Industriais,Serviços Diversos
CASH3,Tecnologia da Informação,Programas e Serviços
CASN3,Utilidade Pública,Água e Saneamento
CBAV3,Materiais Básicos,Mineração
CBEE3,Utilidade Pública,Energia Elétrica
CCRO3,Bens Industriais,Transporte
CEAB3,Consumo Cíclico,Comércio
CEBR3,Utilidade Pública,Energia Elétrica
CEBR5,Utilidade Pública,Energia Elétrica
CEBR6,Utilidade Pública,Energia Elétrica
CEDO3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CEDO4,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CEEB3,Utilidade Pública,Energia Elétrica
CEEB5,Utilidade Pública,Energia Elétrica
CEED3,Utilidade Pública,Energia Elétrica
CEED4,Utilidade Pública,Energia Elétrica
CEGR3,Utilidade Pública,Gás
CEPE3,Utilidade Pública,Energia Elétrica
CEPE5,Utilidade Pública,Energia Elétrica
CEPE6,Utilidade Pública,Energia Elétrica
CESP3,Utilidade Pública,Energia Elétrica
CESP5,Utilidade Pública,Energia Elétrica
CESP6,Utilidade Pública,Energia Elétrica
CGAS3,Utilidade Pública,Gás
CGAS5,Utilidade Pública,Gás
CGRA3,Consumo Cíclico,Comércio
CGRA4,Consumo Cíclico,Comércio
CHVX34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CIEL3,Financeiro,Serviços Financeiros Diversos
CLSA3,Tecnologia da Informação,Programas e Serviços
CLSC3,Utilidade Pública,Energia Elétrica
CLSC4,Utilidade Pública,Energia Elétrica
CMCS34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CMIG3,Utilidade Pública,Energia Elétrica
CMIG4,Utilidade Pública,Energia Elétrica
CMIN3,Materiais Básicos,Mineração
COCA34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
COCE3,Utilidade Pública,Energia Elétrica
COCE5,Utilidade Pública,Energia Elétrica
COGN3,Consumo Cíclico,Diversos
CORR4,Financeiro,Exploração de Imóveis
CPFE3,Utilidade Pública,Energia Elétrica
CPLE11,Utilidade Pública,Energia Elétrica
CPLE3,Utilidade Pública,Energia Elétrica
CPLE5,Utilidade Pública,Energia Elétrica
CPLE6,Utilidade Pública,Energia Elétrica
CPTS11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CRDE3,Consumo Cíclico,Construção Civil
CRFB3,Consumo não Cíclico,Comércio e Distribuição
CRIV3,Financeiro,Intermediários Financeiros
CRIV4,Financeiro,Intermediários Financeiros
CRPG3,Materiais Básicos,Químicos
CRPG5,Materiais Básicos,Químicos
CRPG6,Materiais Básicos,Químicos
CSAB3,Financeiro,Previdência e Seguros
CSAB4,Financeiro,Previdência e Seguros
CSAN3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis"
CSED3,Consumo Cíclico,Diversos
CSMG3,Utilidade Pública,Água e Saneamento
CSNA3,Materiais Básicos,Siderurgia e Metalurgia
CSRN3,Utilidade Pública,Energia Elétrica
CSRN5,Utilidade Pública,Energia Elétrica
CSRN6,Utilidade Pública,Energia Elétrica
CTKA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CTKA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CTNM3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CTNM4,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CTSA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CTSA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
CURY3,Consumo Cíclico,Construção Civil
CVBI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CVCB3,Consumo Cíclico,Viagens e Lazer
CXSE3,Financeiro,Previdência e Seguros
CYRE3,Consumo Cíclico,Construção Civil
DASA3,Saúde,Análises e Diagnósticos
DESK3,Comunicações,Telecomunicações
DEVA11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
DEXP3,Materiais Básicos,Químicos
DEXP4,Materiais Básicos,Químicos
DIRR3,Consumo Cíclico,Construção Civil
DISB34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
DMMO3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis"
DMVF3,Saúde,Comércio e Distribuição
DOHL3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
DOHL4,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
DOTZ3,Tecnologia da Informação,Programas e Serviços
DTCY3,Bens Industriais,Serviços Diversos
DXCO3,Materiais Básicos,Madeira e Papel
EALT3,Bens Industriais,Máquinas e Equipamentos
EALT4,Bens Industriais,Máquinas e Equipamentos
ECOR3,Bens Industriais,Transporte
ECPR3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
ECPR4,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
EEEL3,Utilidade Pública,Energia Elétrica
EEEL4,Utilidade Pública,Energia Elétrica
EGIE3,Utilidade Pública,Energia Elétrica
EKTR3,Utilidade Pública,Energia Elétrica
EKTR4,Utilidade Pública,Energia Elétrica
ELET3,Utilidade Pública,Energia Elétrica
ELET5,Utilidade Pública,Energia Elétrica
ELET6,Utilidade Pública,Energia Elétrica
ELMD3,Comunicações,Mídia
EMAE4,Utilidade Pública,Energia Elétrica
EMBR3,Bens Industriais,Material de Transporte
ENAT3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis"
ENBR3,Utilidade Pública,Energia Elétrica
ENEV3,Utilidade Pública,Energia Elétrica
ENGI11,Utilidade Pública,Energia Elétrica
ENGI3,Utilidade Pública,Energia Elétrica
ENGI4,Utilidade Pública,Energia Elétrica
ENJU3,Tecnologia da Informação,Programas e Serviços
ENMT3,Utilidade Pública,Energia Elétrica
ENMT4,Utilidade Pública,Energia Elétrica
EPAR3,Financeiro,Holdings Diversificadas
EQPA3,Utilidade Pública,Energia Elétrica
EQPA5,Utilidade Pública,Energia Elétrica
EQPA6,Utilidade Pública,Energia Elétrica
EQPA7,Utilidade Pública,Energia Elétrica
EQTL3,Utilidade Pública,Energia Elétrica
ESPA3,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza
ESTR3,Consumo Cíclico,Viagens e Lazer
ESTR4,Consumo Cíclico,Viagens e Lazer
ETER3,Bens Industriais,Construção e Engenharia
ETHE11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
EUCA3,Materiais Básicos,Madeira e Papel
EUCA4,Materiais Básicos,Madeira e Papel
EURP11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
EVEN3,Consumo Cíclico,Construção Civil
EXXO34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
EZTC3,Consumo Cíclico,Construção Civil
FBOK34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FESA3,Materiais Básicos,Siderurgia e Metalurgia
FESA4,Materiais Básicos,Siderurgia e Metalurgia
FHER3,Materiais Básicos,Químicos
FIND11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FIQE3,Comunicações,Telecomunicações
FLRY3,Saúde,Análises e Diagnósticos
FNAM11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FNCN3,Financeiro,Intermediários Financeiros
FNOR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FRAS3,Bens Industriais,Material de Transporte
FRIO3,Bens Industriais,Máquinas e Equipamentos
FRTA3,Consumo não Cíclico,Agropecuária
G2DI33,Financeiro,Serviços Financeiros Diversos
GALG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GEPA3,Utilidade Pública,Energia Elétrica
GEPA4,Utilidade Pública,Energia Elétrica
GFSA3,Consumo Cíclico,Construção Civil
GGBR3,Materiais Básicos,Siderurgia e Metalurgia
GGBR4,Materiais Básicos,Siderurgia e Metalurgia
GGPS3,Bens Industriais,Transporte
GGRC11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GMAT3,Consumo não Cíclico,Comércio e Distribuição
GMCO34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GNDI3,Saúde,Análises e Diagnósticos
GOAU3,Materiais Básicos,Siderurgia e Metalurgia
GOAU4,Materiais Básicos,Siderurgia e Metalurgia
GOGL34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GOLD11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GOLL4,Bens Industriais,Transporte
GPAR3,Utilidade Pública,Energia Elétrica
GPIV33,Financeiro,Serviços Financeiros Diversos
GRND3,Consumo Cíclico,"Tecidos, Vestuário e Calçados"
GSHP3,Financeiro,Exploração de Imóveis
GUAR3,Consumo Cíclico,Comércio
HABT11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HAGA3,Bens Industriais,Construção e Engenharia
HAGA4,Bens Industriais,Construção e Engenharia
HAPV3,Saúde,Análises e Diagnósticos
HASH11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HBOR3,Consumo Cíclico,Construção Civil
HBRE3,Financeiro,Exploração de Imóveis
HBSA3,Bens Industriais,Transporte
HBTS5,Financeiro,Exploração de Imóveis
HCTR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HETA3,Consumo Cíclico,Utilidades Domésticas
HETA4,Consumo Cíclico,Utilidades Domésticas
HFOF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGBS11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGCR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGLG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGRE11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGRU11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HOME34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
